matrix,dominant-eigenvalue
"[[85, 64, 38, 21, 22, 27, 37, 78, 93, 61, 77, 30, 39, 10, 17, 82, 38, 30, 68, 25], [64, 10, 39, 71, 54, 57, 59, 78, 17, 51, 47, 84, 66, 15, 63, 15, 45, 15, 61, 22], [38, 39, 34, 51, 41, 34, 21, 22, 34, 39, 28, 22, 89, 57, 33, 43, 71, 84, 35, 67], [21, 71, 51, 94, 27, 34, 65, 59, 65, 61, 48, 72, 58, 55, 32, 60, 75, 29, 27, 17], [22, 54, 41, 27, 52, 33, 49, 63, 92, 70, 56, 62, 87, 70, 40, 69, 67, 42, 76, 81], [27, 57, 34, 34, 33, 5, 76, 37, 70, 73, 48, 28, 77, 43, 74, 33, 61, 41, 70, 39], [37, 59, 21, 65, 49, 76, 3, 57, 25, 38, 55, 68, 46, 77, 34, 48, 39, 47, 75, 75], [78, 78, 22, 59, 63, 37, 57, 84, 37, 39, 35, 30, 31, 16, 46, 41, 25, 27, 39, 32], [93, 17, 34, 65, 92, 70, 25, 37, 83, 53, 36, 36, 49, 75, 68, 89, 48, 56, 57, 69], [61, 51, 39, 61, 70, 73, 38, 39, 53, 24, 77, 78, 52, 88, 70, 54, 35, 58, 11, 31], [77, 47, 28, 48, 56, 48, 55, 35, 36, 77, 73, 54, 37, 30, 41, 61, 78, 42, 29, 64], [30, 84, 22, 72, 62, 28, 68, 30, 36, 78, 54, 8, 48, 40, 35, 19, 55, 59, 37, 48], [39, 66, 89, 58, 87, 77, 46, 31, 49, 52, 37, 48, 54, 88, 50, 60, 31, 81, 37, 71], [10, 15, 57, 55, 70, 43, 77, 16, 75, 88, 30, 40, 88, 60, 22, 63, 56, 12, 35, 8], [17, 63, 33, 32, 40, 74, 34, 46, 68, 70, 41, 35, 50, 22, 53, 80, 46, 52, 52, 11], [82, 15, 43, 60, 69, 33, 48, 41, 89, 54, 61, 19, 60, 63, 80, 23, 58, 40, 48, 63], [38, 45, 71, 75, 67, 61, 39, 25, 48, 35, 78, 55, 31, 56, 46, 58, 16, 22, 67, 95], [30, 15, 84, 29, 42, 41, 47, 27, 56, 58, 42, 59, 81, 12, 52, 40, 22, 77, 58, 59], [68, 61, 35, 27, 76, 70, 75, 39, 57, 11, 29, 37, 37, 35, 52, 48, 67, 58, 27, 91], [25, 22, 67, 17, 81, 39, 75, 32, 69, 31, 64, 48, 71, 8, 11, 63, 95, 59, 91, 64]]",1003.9383745
"[[73, 40, 30, 57, 43, 47, 18, 27, 47, 72, 40, 74, 20, 31, 21, 5, 74, 85, 69, 29], [40, 1, 61, 34, 50, 22, 66, 47, 76, 69, 47, 57, 50, 33, 58, 83, 28, 86, 68, 55], [30, 61, 13, 79, 56, 71, 83, 69, 40, 42, 21, 48, 56, 19, 55, 39, 71, 70, 21, 60], [57, 34, 79, 79, 38, 49, 41, 26, 62, 47, 87, 22, 25, 43, 78, 20, 66, 46, 58, 13], [43, 50, 56, 38, 53, 68, 54, 45, 24, 24, 62, 16, 48, 50, 71, 43, 59, 46, 61, 53], [47, 22, 71, 49, 68, 49, 28, 50, 29, 58, 37, 45, 61, 16, 53, 61, 38, 9, 26, 60], [18, 66, 83, 41, 54, 28, 49, 61, 64, 54, 32, 32, 69, 89, 92, 27, 35, 46, 41, 11], [27, 47, 69, 26, 45, 50, 61, 30, 59, 13, 52, 28, 60, 27, 72, 65, 74, 33, 42, 62], [47, 76, 40, 62, 24, 29, 64, 59, 35, 44, 47, 81, 48, 47, 76, 57, 58, 39, 55, 27], [72, 69, 42, 47, 24, 58, 54, 13, 44, 62, 56, 37, 43, 85, 64, 69, 83, 37, 37, 51], [40, 47, 21, 87, 62, 37, 32, 52, 47, 56, 29, 21, 58, 34, 58, 24, 54, 71, 35, 21], [74, 57, 48, 22, 16, 45, 32, 28, 81, 37, 21, 76, 29, 59, 71, 55, 76, 65, 63, 59], [20, 50, 56, 25, 48, 61, 69, 60, 48, 43, 58, 29, 16, 58, 46, 44, 82, 53, 30, 48], [31, 33, 19, 43, 50, 16, 89, 27, 47, 85, 34, 59, 58, 60, 59, 54, 27, 18, 69, 52], [21, 58, 55, 78, 71, 53, 92, 72, 76, 64, 58, 71, 46, 59, 45, 81, 35, 58, 67, 41], [5, 83, 39, 20, 43, 61, 27, 65, 57, 69, 24, 55, 44, 54, 81, 9, 81, 38, 22, 48], [74, 28, 71, 66, 59, 38, 35, 74, 58, 83, 54, 76, 82, 27, 35, 81, 8, 71, 29, 67], [85, 86, 70, 46, 46, 9, 46, 33, 39, 37, 71, 65, 53, 18, 58, 38, 71, 79, 49, 30], [69, 68, 21, 58, 61, 26, 41, 42, 55, 37, 35, 63, 30, 69, 67, 22, 29, 49, 95, 48], [29, 55, 60, 13, 53, 60, 11, 62, 27, 51, 21, 59, 48, 52, 41, 48, 67, 30, 48, 64]]",989.6182837
"[[18, 50, 32, 20, 35, 52, 13, 61, 39, 45, 75, 41, 28, 44, 45, 48, 92, 63, 51, 55], [50, 47, 67, 48, 52, 69, 86, 38, 90, 30, 44, 59, 54, 37, 50, 67, 36, 66, 44, 32], [32, 67, 34, 40, 70, 16, 55, 83, 69, 65, 62, 54, 14, 39, 45, 50, 42, 62, 54, 71], [20, 48, 40, 93, 38, 27, 86, 29, 42, 47, 54, 74, 61, 26, 70, 38, 14, 56, 74, 62], [35, 52, 70, 38, 36, 77, 17, 35, 81, 25, 63, 47, 74, 54, 7, 52, 59, 87, 46, 71], [52, 69, 16, 27, 77, 27, 51, 31, 60, 51, 38, 18, 42, 16, 20, 41, 31, 43, 48, 40], [13, 86, 55, 86, 17, 51, 82, 50, 51, 44, 29, 27, 59, 19, 46, 61, 47, 47, 57, 5], [61, 38, 83, 29, 35, 31, 50, 40, 77, 77, 58, 19, 76, 63, 47, 49, 33, 27, 45, 60], [39, 90, 69, 42, 81, 60, 51, 77, 33, 28, 22, 63, 48, 64, 53, 40, 69, 78, 66, 70], [45, 30, 65, 47, 25, 51, 44, 77, 28, 70, 38, 34, 13, 83, 24, 48, 38, 83, 36, 55], [75, 44, 62, 54, 63, 38, 29, 58, 22, 38, 79, 50, 54, 62, 41, 55, 52, 21, 39, 30], [41, 59, 54, 74, 47, 18, 27, 19, 63, 34, 50, 6, 75, 46, 49, 43, 30, 10, 80, 72], [28, 54, 14, 61, 74, 42, 59, 76, 48, 13, 54, 75, 20, 23, 52, 66, 31, 37, 38, 75], [44, 37, 39, 26, 54, 16, 19, 63, 64, 83, 62, 46, 23, 2, 21, 59, 61, 47, 69, 67], [45, 50, 45, 70, 7, 20, 46, 47, 53, 24, 41, 49, 52, 21, 30, 52, 56, 7, 24, 3], [48, 67, 50, 38, 52, 41, 61, 49, 40, 48, 55, 43, 66, 59, 52, 6, 53, 59, 7, 54], [92, 36, 42, 14, 59, 31, 47, 33, 69, 38, 52, 30, 31, 61, 56, 53, 3, 25, 61, 14], [63, 66, 62, 56, 87, 43, 47, 27, 78, 83, 21, 10, 37, 47, 7, 59, 25, 94, 77, 53], [51, 44, 54, 74, 46, 48, 57, 45, 66, 36, 39, 80, 38, 69, 24, 7, 61, 77, 93, 41], [55, 32, 71, 62, 71, 40, 5, 60, 70, 55, 30, 72, 75, 67, 3, 54, 14, 53, 41, 40]]",965.55592
"[[8, 38, 62, 62, 86, 26, 49, 60, 32, 49, 50, 85, 87, 78, 51, 51, 11, 45, 51, 73], [38, 91, 16, 35, 55, 45, 60, 55, 78, 33, 34, 62, 53, 44, 59, 31, 58, 29, 76, 87], [62, 16, 2, 45, 70, 53, 47, 28, 63, 45, 64, 31, 27, 51, 46, 59, 40, 47, 31, 55], [62, 35, 45, 44, 39, 59, 80, 19, 96, 58, 41, 44, 9, 35, 41, 53, 30, 63, 57, 8], [86, 55, 70, 39, 86, 76, 19, 56, 11, 28, 25, 26, 40, 62, 30, 17, 56, 63, 37, 41], [26, 45, 53, 59, 76, 61, 27, 44, 38, 89, 13, 48, 17, 56, 47, 59, 77, 56, 37, 12], [49, 60, 47, 80, 19, 27, 29, 59, 31, 73, 47, 46, 67, 32, 49, 79, 62, 29, 30, 77], [60, 55, 28, 19, 56, 44, 59, 64, 67, 24, 35, 72, 47, 81, 47, 33, 33, 70, 40, 62], [32, 78, 63, 96, 11, 38, 31, 67, 68, 73, 70, 74, 18, 50, 75, 67, 52, 50, 65, 40], [49, 33, 45, 58, 28, 89, 73, 24, 73, 84, 77, 67, 46, 27, 77, 60, 86, 39, 36, 49], [50, 34, 64, 41, 25, 13, 47, 35, 70, 77, 25, 73, 43, 98, 18, 5, 71, 33, 42, 42], [85, 62, 31, 44, 26, 48, 46, 72, 74, 67, 73, 77, 67, 42, 5, 64, 56, 9, 19, 59], [87, 53, 27, 9, 40, 17, 67, 47, 18, 46, 43, 67, 45, 30, 78, 64, 82, 17, 34, 66], [78, 44, 51, 35, 62, 56, 32, 81, 50, 27, 98, 42, 30, 86, 73, 59, 58, 70, 48, 4], [51, 59, 46, 41, 30, 47, 49, 47, 75, 77, 18, 5, 78, 73, 23, 19, 60, 69, 53, 49], [51, 31, 59, 53, 17, 59, 79, 33, 67, 60, 5, 64, 64, 59, 19, 36, 23, 34, 80, 39], [11, 58, 40, 30, 56, 77, 62, 33, 52, 86, 71, 56, 82, 58, 60, 23, 83, 37, 67, 49], [45, 29, 47, 63, 63, 56, 29, 70, 50, 39, 33, 9, 17, 70, 69, 34, 37, 91, 49, 15], [51, 76, 31, 57, 37, 37, 30, 40, 65, 36, 42, 19, 34, 48, 53, 80, 67, 49, 71, 39], [73, 87, 55, 8, 41, 12, 77, 62, 40, 49, 42, 59, 66, 4, 49, 39, 49, 15, 39, 64]]",992.0881034
"[[25, 72, 86, 84, 34, 18, 55, 26, 44, 70, 27, 35, 45, 25, 51, 57, 57, 12, 46, 51], [72, 38, 70, 57, 71, 44, 49, 35, 80, 67, 27, 9, 9, 36, 61, 62, 49, 69, 35, 58], [86, 70, 40, 32, 50, 51, 62, 86, 51, 52, 66, 82, 43, 49, 86, 10, 71, 96, 51, 60], [84, 57, 32, 2, 76, 20, 25, 52, 27, 33, 48, 71, 49, 55, 38, 21, 70, 32, 16, 92], [34, 71, 50, 76, 19, 31, 60, 78, 41, 67, 83, 41, 28, 38, 64, 61, 36, 35, 66, 19], [18, 44, 51, 20, 31, 34, 86, 55, 45, 39, 84, 43, 50, 69, 59, 87, 66, 58, 29, 34], [55, 49, 62, 25, 60, 86, 81, 70, 33, 37, 84, 60, 12, 19, 56, 32, 67, 44, 17, 25], [26, 35, 86, 52, 78, 55, 70, 29, 64, 68, 19, 17, 43, 63, 69, 20, 52, 71, 79, 62], [44, 80, 51, 27, 41, 45, 33, 64, 29, 85, 23, 38, 21, 26, 46, 67, 37, 63, 39, 66], [70, 67, 52, 33, 67, 39, 37, 68, 85, 91, 50, 81, 66, 88, 35, 93, 60, 81, 49, 57], [27, 27, 66, 48, 83, 84, 84, 19, 23, 50, 45, 15, 38, 53, 54, 35, 47, 26, 70, 48], [35, 9, 82, 71, 41, 43, 60, 17, 38, 81, 15, 16, 24, 54, 27, 61, 49, 9, 77, 63], [45, 9, 43, 49, 28, 50, 12, 43, 21, 66, 38, 24, 33, 47, 70, 44, 41, 78, 69, 26], [25, 36, 49, 55, 38, 69, 19, 63, 26, 88, 53, 54, 47, 39, 47, 26, 90, 29, 55, 33], [51, 61, 86, 38, 64, 59, 56, 69, 46, 35, 54, 27, 70, 47, 77, 47, 43, 70, 36, 10], [57, 62, 10, 21, 61, 87, 32, 20, 67, 93, 35, 61, 44, 26, 47, 97, 32, 55, 75, 85], [57, 49, 71, 70, 36, 66, 67, 52, 37, 60, 47, 49, 41, 90, 43, 32, 62, 38, 64, 55], [12, 69, 96, 32, 35, 58, 44, 71, 63, 81, 26, 9, 78, 29, 70, 55, 38, 92, 80, 55], [46, 35, 51, 16, 66, 29, 17, 79, 39, 49, 70, 77, 69, 55, 36, 75, 64, 80, 65, 53], [51, 58, 60, 92, 19, 34, 25, 62, 66, 57, 48, 63, 26, 33, 10, 85, 55, 55, 53, 12]]",1018.1621614
"[[53, 50, 63, 43, 61, 53, 78, 84, 55, 38, 50, 51, 55, 50, 60, 72, 87, 15, 61, 32], [50, 20, 37, 8, 54, 17, 17, 79, 24, 54, 63, 45, 63, 33, 74, 66, 31, 57, 22, 50], [63, 37, 65, 69, 27, 42, 67, 19, 71, 32, 48, 84, 72, 85, 39, 68, 64, 39, 58, 76], [43, 8, 69, 49, 62, 23, 63, 58, 42, 36, 51, 79, 59, 65, 28, 41, 40, 40, 55, 54], [61, 54, 27, 62, 73, 41, 14, 24, 93, 29, 46, 68, 38, 26, 45, 41, 65, 47, 43, 70], [53, 17, 42, 23, 41, 79, 49, 35, 37, 37, 69, 82, 48, 59, 58, 45, 20, 49, 31, 55], [78, 17, 67, 63, 14, 49, 44, 88, 48, 73, 48, 36, 22, 64, 50, 64, 39, 41, 42, 44], [84, 79, 19, 58, 24, 35, 88, 19, 62, 77, 39, 5, 46, 24, 68, 66, 22, 63, 57, 80], [55, 24, 71, 42, 93, 37, 48, 62, 41, 70, 61, 26, 44, 55, 15, 50, 35, 49, 15, 57], [38, 54, 32, 36, 29, 37, 73, 77, 70, 33, 88, 77, 48, 27, 28, 56, 12, 60, 58, 47], [50, 63, 48, 51, 46, 69, 48, 39, 61, 88, 93, 46, 60, 52, 45, 78, 46, 70, 41, 67], [51, 45, 84, 79, 68, 82, 36, 5, 26, 77, 46, 7, 34, 47, 41, 38, 29, 34, 63, 27], [55, 63, 72, 59, 38, 48, 22, 46, 44, 48, 60, 34, 53, 18, 53, 56, 86, 90, 57, 39], [50, 33, 85, 65, 26, 59, 64, 24, 55, 27, 52, 47, 18, 64, 8, 91, 31, 80, 57, 77], [60, 74, 39, 28, 45, 58, 50, 68, 15, 28, 45, 41, 53, 8, 5, 47, 54, 41, 83, 23], [72, 66, 68, 41, 41, 45, 64, 66, 50, 56, 78, 38, 56, 91, 47, 19, 63, 24, 51, 43], [87, 31, 64, 40, 65, 20, 39, 22, 35, 12, 46, 29, 86, 31, 54, 63, 81, 43, 45, 78], [15, 57, 39, 40, 47, 49, 41, 63, 49, 60, 70, 34, 90, 80, 41, 24, 43, 78, 57, 62], [61, 22, 58, 55, 43, 31, 42, 57, 15, 58, 41, 63, 57, 57, 83, 51, 45, 57, 53, 21], [32, 50, 76, 54, 70, 55, 44, 80, 57, 47, 67, 27, 39, 77, 23, 43, 78, 62, 21, 10]]",1004.2736678
"[[96, 49, 71, 60, 55, 62, 60, 75, 57, 42, 41, 41, 69, 19, 58, 57, 29, 43, 65, 30], [49, 78, 49, 28, 26, 42, 66, 31, 56, 46, 41, 55, 46, 55, 7, 17, 42, 64, 13, 70], [71, 49, 71, 27, 56, 49, 40, 55, 46, 37, 49, 33, 41, 44, 47, 62, 50, 40, 39, 43], [60, 28, 27, 44, 37, 46, 21, 70, 81, 31, 70, 61, 39, 29, 26, 67, 19, 57, 75, 22], [55, 26, 56, 37, 88, 66, 86, 37, 11, 44, 96, 42, 57, 52, 23, 41, 49, 53, 48, 53], [62, 42, 49, 46, 66, 63, 26, 86, 57, 19, 53, 85, 41, 77, 78, 54, 22, 76, 81, 51], [60, 66, 40, 21, 86, 26, 54, 35, 22, 79, 14, 19, 60, 55, 73, 19, 69, 82, 35, 42], [75, 31, 55, 70, 37, 86, 35, 95, 28, 43, 72, 68, 33, 72, 8, 41, 60, 39, 13, 21], [57, 56, 46, 81, 11, 57, 22, 28, 17, 64, 76, 26, 8, 47, 28, 31, 52, 81, 68, 63], [42, 46, 37, 31, 44, 19, 79, 43, 64, 2, 37, 42, 53, 28, 37, 37, 11, 52, 51, 51], [41, 41, 49, 70, 96, 53, 14, 72, 76, 37, 89, 75, 28, 90, 34, 83, 47, 32, 64, 32], [41, 55, 33, 61, 42, 85, 19, 68, 26, 42, 75, 23, 44, 12, 67, 46, 71, 42, 70, 36], [69, 46, 41, 39, 57, 41, 60, 33, 8, 53, 28, 44, 45, 45, 65, 48, 31, 34, 27, 40], [19, 55, 44, 29, 52, 77, 55, 72, 47, 28, 90, 12, 45, 42, 68, 41, 26, 35, 42, 63], [58, 7, 47, 26, 23, 78, 73, 8, 28, 37, 34, 67, 65, 68, 87, 89, 49, 78, 75, 34], [57, 17, 62, 67, 41, 54, 19, 41, 31, 37, 83, 46, 48, 41, 89, 19, 29, 58, 39, 34], [29, 42, 50, 19, 49, 22, 69, 60, 52, 11, 47, 71, 31, 26, 49, 29, 15, 59, 73, 19], [43, 64, 40, 57, 53, 76, 82, 39, 81, 52, 32, 42, 34, 35, 78, 58, 59, 67, 53, 83], [65, 13, 39, 75, 48, 81, 35, 13, 68, 51, 64, 70, 27, 42, 75, 39, 73, 53, 25, 18], [30, 70, 43, 22, 53, 51, 42, 21, 63, 51, 32, 36, 40, 63, 34, 34, 19, 83, 18, 14]]",970.293148
"[[71, 53, 23, 94, 47, 79, 7, 71, 65, 32, 81, 35, 65, 24, 68, 66, 67, 80, 43, 60], [53, 25, 48, 20, 60, 64, 61, 20, 47, 25, 52, 15, 76, 57, 88, 40, 82, 55, 14, 52], [23, 48, 46, 60, 54, 62, 62, 59, 84, 36, 60, 43, 60, 61, 86, 71, 70, 37, 66, 40], [94, 20, 60, 14, 70, 71, 42, 26, 61, 77, 22, 18, 47, 88, 45, 45, 51, 31, 69, 45], [47, 60, 54, 70, 28, 48, 10, 50, 76, 60, 46, 37, 65, 41, 39, 34, 75, 50, 75, 40], [79, 64, 62, 71, 48, 4, 34, 57, 75, 50, 83, 70, 79, 41, 58, 21, 60, 85, 63, 26], [7, 61, 62, 42, 10, 34, 17, 75, 61, 38, 45, 43, 66, 58, 58, 9, 57, 39, 60, 56], [71, 20, 59, 26, 50, 57, 75, 61, 41, 4, 52, 44, 27, 29, 47, 68, 58, 66, 69, 66], [65, 47, 84, 61, 76, 75, 61, 41, 43, 21, 25, 52, 24, 26, 19, 58, 62, 77, 41, 33], [32, 25, 36, 77, 60, 50, 38, 4, 21, 13, 77, 39, 44, 40, 27, 67, 84, 60, 48, 35], [81, 52, 60, 22, 46, 83, 45, 52, 25, 77, 42, 41, 60, 23, 27, 47, 41, 75, 54, 82], [35, 15, 43, 18, 37, 70, 43, 44, 52, 39, 41, 44, 65, 20, 50, 60, 29, 42, 53, 51], [65, 76, 60, 47, 65, 79, 66, 27, 24, 44, 60, 65, 93, 36, 36, 62, 71, 36, 49, 38], [24, 57, 61, 88, 41, 41, 58, 29, 26, 40, 23, 20, 36, 65, 57, 60, 36, 80, 48, 46], [68, 88, 86, 45, 39, 58, 58, 47, 19, 27, 27, 50, 36, 57, 7, 78, 38, 56, 42, 93], [66, 40, 71, 45, 34, 21, 9, 68, 58, 67, 47, 60, 62, 60, 78, 6, 41, 37, 61, 38], [67, 82, 70, 51, 75, 60, 57, 58, 62, 84, 41, 29, 71, 36, 38, 41, 58, 65, 50, 64], [80, 55, 37, 31, 50, 85, 39, 66, 77, 60, 75, 42, 36, 80, 56, 37, 65, 34, 56, 33], [43, 14, 66, 69, 75, 63, 60, 69, 41, 48, 54, 53, 49, 48, 42, 61, 50, 56, 66, 66], [60, 52, 40, 45, 40, 26, 56, 66, 33, 35, 82, 51, 38, 46, 93, 38, 64, 33, 66, 10]]",1024.0285107
"[[22, 34, 63, 40, 75, 16, 19, 51, 53, 39, 74, 41, 37, 92, 34, 50, 26, 33, 48, 50], [34, 53, 53, 74, 28, 3, 50, 20, 85, 50, 95, 73, 37, 59, 25, 35, 69, 49, 54, 61], [63, 53, 5, 29, 83, 43, 50, 78, 50, 24, 46, 51, 41, 27, 47, 45, 98, 51, 30, 64], [40, 74, 29, 22, 31, 8, 50, 70, 24, 60, 66, 43, 42, 10, 21, 80, 68, 40, 53, 59], [75, 28, 83, 31, 99, 35, 30, 84, 49, 34, 48, 71, 29, 58, 57, 17, 33, 5, 70, 58], [16, 3, 43, 8, 35, 19, 73, 48, 80, 41, 69, 52, 20, 67, 77, 60, 67, 51, 51, 39], [19, 50, 50, 50, 30, 73, 61, 45, 66, 15, 48, 61, 45, 66, 50, 18, 58, 60, 37, 45], [51, 20, 78, 70, 84, 48, 45, 2, 49, 22, 23, 54, 31, 63, 44, 26, 66, 33, 34, 57], [53, 85, 50, 24, 49, 80, 66, 49, 71, 18, 64, 75, 35, 50, 60, 23, 64, 50, 59, 24], [39, 50, 24, 60, 34, 41, 15, 22, 18, 49, 14, 45, 70, 34, 57, 43, 35, 52, 52, 38], [74, 95, 46, 66, 48, 69, 48, 23, 64, 14, 97, 50, 30, 8, 58, 66, 35, 39, 20, 29], [41, 73, 51, 43, 71, 52, 61, 54, 75, 45, 50, 76, 41, 55, 61, 73, 49, 68, 74, 87], [37, 37, 41, 42, 29, 20, 45, 31, 35, 70, 30, 41, 6, 12, 66, 68, 29, 28, 49, 40], [92, 59, 27, 10, 58, 67, 66, 63, 50, 34, 8, 55, 12, 35, 78, 47, 33, 88, 83, 10], [34, 25, 47, 21, 57, 77, 50, 44, 60, 57, 58, 61, 66, 78, 58, 63, 70, 67, 76, 20], [50, 35, 45, 80, 17, 60, 18, 26, 23, 43, 66, 73, 68, 47, 63, 16, 39, 31, 55, 29], [26, 69, 98, 68, 33, 67, 58, 66, 64, 35, 35, 49, 29, 33, 70, 39, 89, 76, 67, 16], [33, 49, 51, 40, 5, 51, 60, 33, 50, 52, 39, 68, 28, 88, 67, 31, 76, 67, 79, 52], [48, 54, 30, 53, 70, 51, 37, 34, 59, 52, 20, 74, 49, 83, 76, 55, 67, 79, 30, 89], [50, 61, 64, 59, 58, 39, 45, 57, 24, 38, 29, 87, 40, 10, 20, 29, 16, 52, 89, 74]]",982.2561334
"[[91, 58, 65, 37, 47, 14, 60, 87, 27, 37, 34, 66, 36, 59, 85, 22, 56, 47, 33, 73], [58, 34, 88, 76, 35, 68, 86, 48, 48, 34, 47, 44, 38, 45, 18, 38, 21, 92, 61, 10], [65, 88, 45, 42, 20, 68, 24, 67, 47, 81, 61, 68, 19, 87, 52, 58, 26, 47, 38, 17], [37, 76, 42, 44, 58, 49, 53, 75, 74, 35, 17, 29, 78, 39, 49, 46, 53, 82, 83, 23], [47, 35, 20, 58, 56, 8, 65, 18, 62, 48, 51, 76, 57, 41, 45, 59, 26, 14, 35, 27], [14, 68, 68, 49, 8, 3, 49, 43, 36, 50, 61, 44, 62, 33, 65, 44, 73, 30, 44, 92], [60, 86, 24, 53, 65, 49, 30, 46, 49, 60, 52, 44, 41, 49, 58, 35, 74, 23, 27, 27], [87, 48, 67, 75, 18, 43, 46, 26, 36, 21, 44, 80, 87, 47, 49, 61, 29, 57, 43, 48], [27, 48, 47, 74, 62, 36, 49, 36, 60, 15, 56, 22, 47, 40, 80, 49, 42, 60, 78, 80], [37, 34, 81, 35, 48, 50, 60, 21, 15, 48, 26, 27, 53, 24, 31, 43, 58, 48, 44, 36], [34, 47, 61, 17, 51, 61, 52, 44, 56, 26, 32, 17, 25, 51, 88, 17, 53, 47, 37, 63], [66, 44, 68, 29, 76, 44, 44, 80, 22, 27, 17, 50, 31, 15, 63, 56, 35, 50, 53, 59], [36, 38, 19, 78, 57, 62, 41, 87, 47, 53, 25, 31, 91, 41, 36, 55, 42, 32, 64, 54], [59, 45, 87, 39, 41, 33, 49, 47, 40, 24, 51, 15, 41, 9, 78, 47, 44, 78, 60, 83], [85, 18, 52, 49, 45, 65, 58, 49, 80, 31, 88, 63, 36, 78, 22, 50, 33, 51, 36, 63], [22, 38, 58, 46, 59, 44, 35, 61, 49, 43, 17, 56, 55, 47, 50, 34, 62, 44, 90, 79], [56, 21, 26, 53, 26, 73, 74, 29, 42, 58, 53, 35, 42, 44, 33, 62, 14, 40, 78, 11], [47, 92, 47, 82, 14, 30, 23, 57, 60, 48, 47, 50, 32, 78, 51, 44, 40, 93, 48, 55], [33, 61, 38, 83, 35, 44, 27, 43, 78, 44, 37, 53, 64, 60, 36, 90, 78, 48, 98, 27], [73, 10, 17, 23, 27, 92, 27, 48, 80, 36, 63, 59, 54, 83, 63, 79, 11, 55, 27, 33]]",975.9484019
